26469	La Maison d'Hôtes du Parc	12-14 Rue du Tram 70250 Ronchamp		12-14 Rue du Tram 70250 Ronchamp	12-14 Rue du Tram 70250 Ronchamp	12-14 Rue du Tram 70250 Ronchamp	12-14 Rue du Tram 70250 Ronchamp	03 84 63 93 43	384639343	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	750				http://restaurant.michelin.fr/restaurant/france/70250-ronchamp/la-maison-d-hotes-du-parc/pwpofi2o	false	219	Wifi,Table d'hôtes,Accès handicapés,Animaux acceptés,Parking		http://www.iguide-hotels.com/la-maison-d-hotes-du-parc/ronchamp/tabid/23288/offreid/f5cda064-3cbb-4056-bf75-b4563c044aaa/maison-d-hote-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://hotesduparc.com/	La Maison d'Hôtes du Parc	110	6.630281	47.69833		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
26986	Manoir de Graincourt	10 place Ludovic-Panel 76370 Derchigny		10 place Ludovic-Panel 76370 Derchigny	10 place Ludovic-Panel 76370 Derchigny	10 place Ludovic-Panel 76370 Derchigny	10 place Ludovic-Panel 76370 Derchigny	02 35 84 12 88	235841288	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1279		1	1	http://restaurant.michelin.fr/restaurant/france/76370-derchigny/manoir-de-graincourt/9s3nnn5	false	377	Wifi,Table d'hôtes,Animaux non acceptés,Golf,Parking		http://www.iguide-hotels.com/manoir-de-graincourt/derchigny/tabid/23288/offreid/e489adcf-c43c-4054-97b0-cb802c87a0e7/maison-d-hote-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://manoir-de-graincourt.com	Manoir de Graincourt	100	1.187897	49.93443		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
27681	La Ferme de Marie-Eugénie	225 allée de Chardenoux 71500 Bruailles		225 allée de Chardenoux 71500 Bruailles	225 allée de Chardenoux 71500 Bruailles	225 allée de Chardenoux 71500 Bruailles	225 allée de Chardenoux 71500 Bruailles	03 85 74 81 84	385748184	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015				http://restaurant.michelin.fr/restaurant/france/71500-bruailles/la-ferme-de-marie-eugenie/pwoj3msx	false	37	Table d'hôtes,Animaux acceptés,Parking		http://www.iguide-hotels.com/la-ferme-de-marie-eugenie/bruailles/tabid/23288/offreid/a2870fa1-4c6b-48df-8224-628ca54f6bb8/maison-d-hote-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://www.lafermedemarieeugenie.fr/	La Ferme de Marie-Eugénie	115	5.281742	46.57019		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
27731	Clos Mussy	8 r. du Château 21150 Mussy-la-Fosse		8 r. du Château 21150 Mussy-la-Fosse	8 r. du Château 21150 Mussy-la-Fosse	8 r. du Château 21150 Mussy-la-Fosse	8 r. du Château 21150 Mussy-la-Fosse	03 80 96 97 87	380969787	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2068				http://restaurant.michelin.fr/restaurant/france/21150-mussy-la-fosse/clos-mussy/9stf3hh	false	689	Piscine,Wifi,Table d'hôtes,Animaux non acceptés,Parking		http://www.iguide-hotels.com/clos-mussy/mussy-la-fosse/tabid/23288/offreid/e5c71e26-8ec2-4d73-9c94-a8754aaa08fb/maison-d-hote-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://closmussy.fr	Clos Mussy	90	4.442147	47.53547		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
27801	Auberge du Paradis	Le Plâtre-Durand		71570	ST AMOUR BELLEVUE	BOURGOGNE	fr	03 85 37 10 26	385371026	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2138	Menu Enfant	14	4.4	http://restaurant.michelin.fr/restaurant/france/71570-saint-amour-bellevue/auberge-du-paradis/2armsjm	1	87	Piscine,Wifi,Restaurant,Animaux acceptés,Golf,Tennis,Parking	3	http://www.iguide-hotels.com/auberge-du-paradis/st-amour-bellevue/tabid/23287/offreid/065a09ad-72f9-4c84-996b-1cc672a5d2ba/hotel-de-charme.aspx	1727	http://aubergeduparadis.fr	2	http://gaultmillau.fr/restaurant/bourgogne/st-amour-bellevue-71570/auberge-du-paradis-4680/	0	69,00-69,00	4.7493343	46.2421141	http://aubergeduparadis.fr	Auberge du Paradis	145	4.749615	46.24173		restaurant	fermé le dimanche soir. le lundi et le mardi.	http://www.aubergeduparadis.fr	http://www.linternaute.com/restaurant/restaurant/9829/auberge-du-paradis.html	30-60€	5/5	 "" style hotels-palaces restaurants-de-cuisine-moderne restaurants-gastronomiques restaurants-le-guide-restaurant	0	0	5830		0							NULL
28254	Hôtel Restaurant Les Roches	pl. de la Mairie 21290 Saint-Romain		pl. de la Mairie 21290 Saint-Romain	pl. de la Mairie 21290 Saint-Romain	pl. de la Mairie 21290 Saint-Romain	pl. de la Mairie 21290 Saint-Romain	03 80 21 21 63	380212163	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2621	Menu Enfant	4	4.8	http://restaurant.michelin.fr/restaurant/france/21290-saint-romain/hotel-restaurant-les-roches/2etd09s	bib	544	Wifi gratuit,Restaurant,Animaux non acceptés	2	http://www.iguide-hotels.com/hotel-les-roches/st-romain/tabid/23287/offreid/617b993a-ef3f-4e83-85ae-ec675d9fe97e/hotel-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://les-roches.fr	Hôtel Les Roches	50	4.708748	46.99826	http://www.les-roches.fr	restaurant		http://www.les-roches.fr	http://www.linternaute.com/restaurant/restaurant/6962/les-roches.shtml	15-30€	4/5	 bars brasseries-bistrots restaurants-bourguignons restaurants-de-cuisine-traditionnelle restaurants-de-cuisines-de-france restaurants-le-guide-restaurant	0	0	4166		0							NULL
28450	Auberge du Bon Fermier	64 r. de Famars 59300 Valenciennes		64 r. de Famars 59300 Valenciennes	64 r. de Famars 59300 Valenciennes	64 r. de Famars 59300 Valenciennes	64 r. de Famars 59300 Valenciennes	03 27 46 68 25	327466825	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2822	Menu Enfant	8	4	http://restaurant.michelin.fr/restaurant/france/59300-valenciennes/auberge-du-bon-fermier/2d0o2kk	false	71	Wifi gratuit,Restaurant,Animaux acceptés		http://www.iguide-hotels.com/auberge-du-bon-fermier/valenciennes/tabid/23287/offreid/36aae912-d96a-4c80-88b0-b23a981f25c9/hotel-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://bonfermier.com/	Auberge du Bon Fermier	78	3.5214	50.3551	http://www.bonfermier.com	restaurant		http://www.bonfermier.com	http://www.linternaute.com/restaurant/restaurant/34746/l-auberge-du-bon-fermier.shtml	30-60€	4/5	 "" style hotels-palaces restaurants-de-cuisine-traditionnelle restaurants-le-guide-restaurant	0	0	19145	null	8	25	25	Map,Traditional	50.355053316696	3.521290063858	http://www.thefork.com/restaurant/auberge-du-bon-fermier/31808	8499
28459	Le Hameau de Barboron	Barboron 21420 Savigny-lès-Beaune		Barboron 21420 Savigny-lès-Beaune	Barboron 21420 Savigny-lès-Beaune	Barboron 21420 Savigny-lès-Beaune	Barboron 21420 Savigny-lès-Beaune	03 80 21 58 35	380215835	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2831	Menu Enfant, Bio, Sans Gluten, Végétalien, Végétarien			http://restaurant.michelin.fr/restaurant/france/21420-savigny-les-beaune/le-hameau-de-barboron/2elij5x	false	621	Wifi gratuit,Restaurant,Accès handicapés,Animaux acceptés,Randonnée pédestre,Parking	3	http://www.iguide-hotels.com/le-hameau-de-barboron/savigny-les-beaune/tabid/23287/offreid/2e040d4d-2858-4cce-b474-cbb4125bfff5/hotel-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://www.hameau-barboron.com	Le Hameau de Barboron	110	4.82273	47.09267	http://www.hameau-barboron.com	restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
30507	La Roche d'Esteil	LA CROIX D ESTEIL 24200 Sainte-Nathalène		LA CROIX D ESTEIL 24200 Sainte-Nathalène	LA CROIX D ESTEIL 24200 Sainte-Nathalène	LA CROIX D ESTEIL 24200 Sainte-Nathalène	LA CROIX D ESTEIL 24200 Sainte-Nathalène	05 53 29 14 42	553291442	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5032				http://restaurant.michelin.fr/restaurant/france/24200-sainte-nathalene/la-roche-d-esteil/pwpnkr27	false	323	Piscine,Wifi gratuit,Table d'hôtes,Animaux non acceptés,Randonnée pédestre,Parking		http://www.iguide-hotels.com/la-roche-d-esteil/ste-nathalene/tabid/23288/offreid/e769f4a2-843f-4baa-9a31-291f1453c9c4/maison-d-hote-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://www.larochedesteil.com	La Roche d’Esteil	70	1.287641	44.91231		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
31060	Auberge de Castel-Merle	 24290 SERGEAC		 24290 SERGEAC	 24290 SERGEAC	 24290 SERGEAC	 24290 SERGEAC	05 53 50 70 08	553507008	NULL	Restaurant	2016-03-24 11:00:26	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5609				http://restaurant.michelin.fr/restaurant/france/24290-sergeac/auberge-de-castel-merle/9hhmyg1z	false	34	Wifi,Restaurant,Accès handicapés,Animaux non acceptés,Randonnée pédestre,Parking	2	http://www.iguide-hotels.com/auberge-de-castel-merle/sergeac/tabid/23287/offreid/93aaa383-2d47-47fe-b777-3823ba9c9c31/hotel-de-charme.aspx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	http://www.hotelcastelmerle.com/	Auberge de Castel Merle 	59	1.100017	45		restaurant	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL		0							NULL
